city,temperature,carbon_intensity,date_time
Paris,3.16,49.0,2025-01-31 17:58:27
Paris,3.16,49.0,2025-01-31 17:58:27
Paris,3.16,49.0,2025-01-31 17:58:27
Paris,3.16,49.0,2025-01-31 17:58:27
Paris,2.93,49.0,2025-01-31 18:02:16
Paris,2.93,49.0,2025-01-31 18:02:16
Paris,3.16,49.0,2025-01-31 17:58:50
Paris,3.16,49.0,2025-01-31 17:58:50
Paris,2.9,49.0,2025-01-31 18:11:28
Paris,2.9,49.0,2025-01-31 18:11:28
Paris,2.9,49.0,2025-01-31 18:11:28
Paris,6.01,52.0,2025-02-10 16:23:39
Paris,6.01,52.0,2025-02-10 16:23:39
Paris,6.01,52.0,2025-02-10 16:23:39
Paris,6.01,52.0,2025-02-10 16:26:57
Paris,3.67,75.0,2025-02-11 21:23:04
Paris,3.67,75.0,2025-02-11 21:23:04
Paris,3.67,75.0,2025-02-11 21:23:04
Paris,3.39,75.0,2025-02-11 21:33:22
Paris,3.39,75.0,2025-02-11 21:33:22
Paris,3.67,75.0,2025-02-11 21:27:24
Paris,3.67,75.0,2025-02-11 21:27:24
Paris,3.67,75.0,2025-02-11 21:27:24
Paris,3.39,75.0,2025-02-11 21:33:22
Paris,3.39,75.0,2025-02-11 21:33:22
Dakar,18.61,75.0,2025-02-11 21:26:31
Paris,3.39,75.0,2025-02-11 21:33:22
Paris,3.39,75.0,2025-02-11 21:33:22
Paris,3.39,75.0,2025-02-11 21:38:25
Paris,3.39,75.0,2025-02-11 21:38:25
Paris,3.38,77.0,2025-02-11 21:42:15
Paris,3.14,77.0,2025-02-11 21:53:06
Paris,3.14,77.0,2025-02-11 21:53:06
Paris,3.14,77.0,2025-02-11 21:53:06
Paris,3.14,77.0,2025-02-11 21:53:06
Paris,3.14,77.0,2025-02-11 21:53:06
Paris,3.38,77.0,2025-02-11 22:04:20
Paris,3.38,77.0,2025-02-11 22:03:32
Paris,3.38,77.0,2025-02-11 22:03:32
Paris,3.38,77.0,2025-02-11 22:03:32
Paris,3.38,77.0,2025-02-11 22:10:33
Paris,3.38,77.0,2025-02-11 22:04:20
Paris,2.98,77.0,2025-02-11 22:13:43
Paris,3.38,77.0,2025-02-11 22:09:19
Dakar,18.66,77.0,2025-02-11 22:10:45
Oslo,-7.08,77.0,2025-02-11 22:19:25
Arrondissement de Marseille,9.94,77.0,2025-02-11 22:18:15
Paris,3.38,77.0,2025-02-11 22:09:19
Marrakesh,14.04,77.0,2025-02-11 22:20:56
Paris,2.53,76.0,2025-02-11 23:11:33
Paris,2.53,76.0,2025-02-11 23:11:33
Paris,2.53,76.0,2025-02-11 23:11:33
Paris,2.53,76.0,2025-02-11 23:11:33
Paris,2.62,76.0,2025-02-11 23:21:28
Paris,2.62,76.0,2025-02-11 23:21:28
Paris,2.62,76.0,2025-02-11 23:21:28
Paris,2.62,76.0,2025-02-11 23:21:28
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:27:18
Paris,2.62,76.0,2025-02-11 23:31:37
Paris,2.62,76.0,2025-02-11 23:31:37
Paris,2.62,76.0,2025-02-11 23:31:37
Paris,2.62,76.0,2025-02-11 23:31:37
Paris,2.62,76.0,2025-02-11 23:31:37
Paris,2.36,76.0,2025-02-11 23:43:07
Paris,2.36,76.0,2025-02-11 23:43:07
Paris,2.36,72.0,2025-02-11 23:43:07
Paris,2.36,72.0,2025-02-11 23:42:15
Paris,2.36,72.0,2025-02-11 23:42:15
Paris,2.62,72.0,2025-02-11 23:37:31
Paris,2.62,72.0,2025-02-11 23:37:31
Paris,2.62,72.0,2025-02-11 23:37:31
Paris,2.62,72.0,2025-02-11 23:37:31
